"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"192566","AT 2025adhu","12:07:12.972","+55:39:13.09","","","","","ZTF, WFST","ZTF, WFST","","WFST, ZTF","ZTF25aceekwp","P48 - ZTF-Cam, WFST - WFST-WFC","","1","1","","21.2306","g-ZTF","2025-11-13 10:30:25.004","ZTF_MMA_bot","","","2025TNSTR4563....1A","","",""
"192565","AT 2025adht","12:00:24.350","+49:02:51.95","","","","","ZTF","ZTF","","ZTF","ZTF25aceekrn","P48 - ZTF-Cam","","1","1","","21.0378","g-ZTF","2025-11-13 10:14:51.996","ZTF_MMA_bot","","","2025TNSTR4563....1A","","",""
"192564","AT 2025adhs","04:12:56.396","-54:11:46.41","","","","","BlackGEM","BlackGEM","","BlackGEM","BGEM J041256.40-541146.4","BG3 - BlackGEM-Cam3, ML1 - MeerLICHT-Cam","","1","1","","19.1","BG-q-BlackGem","2025-11-13 04:20:34.000","BlackGEM_Bot1","","","2025TNSTR4552....1T","","",""
"192563","AT 2025adhr","00:46:44.392","-41:21:05.47","","","","","BlackGEM","BlackGEM","","BlackGEM","BGEM J004644.39-412105.5","BG2 - BlackGEM-Cam2, BG4 - BlackGEM-Cam4","","1","1","","19.46","BG-q-BlackGem","2025-11-13 01:13:24.000","BlackGEM_Bot1","","","2025TNSTR4552....1T","","",""
"192562","AT 2025adhq","10:08:09.989","+34:05:54.91","","","SDSS J100810.07+340554.0","","ALeRCE","ZTF","","ZTF","ZTF25aceexto","P48 - ZTF-Cam","","1","1","","20.0485","r-ZTF","2025-11-07 13:05:33.999","ALeRCE","","","2025TNSTR4550....1M","","",""
"192561","AT 2025adhp","13:16:45.870","+67:39:39.50","","","SDSS J131645.45+673939.2","","ALeRCE","ZTF","","ZTF","ZTF25acefaoq","P48 - ZTF-Cam","","1","1","","19.1782","r-ZTF","2025-11-13 12:48:22.003","ALeRCE","","","2025TNSTR4550....1M","","",""
"192560","AT 2025adho","11:16:17.735","-13:57:27.39","","","LEDA  930946","0.01813","ALeRCE, ATLAS","ZTF, ATLAS","","ATLAS, ZTF","ZTF25acefezu","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","","1","1","","18.064","r-ZTF","2025-11-13 13:20:15.996","ALeRCE","","","2025TNSTR4549....1M","","",""
"192559","AT 2025adhn","11:57:15.479","-08:08:39.74","","","WISEA J115715.57-080841.3","","ALeRCE","ZTF","","ZTF","ZTF25aceffvo","P48 - ZTF-Cam","","1","1","","18.5797","r-ZTF","2025-11-13 13:25:12.003","ALeRCE","","","2025TNSTR4549....1M","","",""
"192558","AT 2025adhm","04:13:23.605","+10:26:30.70","","","","","ZTF","ZTF","","ZTF","ZTF25acdprpx","P48 - ZTF-Cam","","1","1","","20.337","r-ZTF","2025-11-01 08:08:55.996","Fritz","","","2025TNSTR4562....1S","","",""
"192557","AT 2025adhl","11:57:54.769","+34:29:44.16","","","","","ZTF, ATLAS","ZTF, ATLAS","","ATLAS, ZTF","ZTF21acihtxl","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","","1","1","","19.4146","g-ZTF","2025-11-10 13:08:49.997","Fritz","","","2025TNSTR4562....1S","","",""
"192555","AT 2025adhk","12:14:06.613","+14:09:39.55","","","","","ZTF","ZTF","","ZTF","ZTF25acbevlh","P48 - ZTF-Cam","","1","1","","18.3159","r-ZTF","2025-10-26 13:07:59.998","Fritz","","","2025TNSTR4562....1S","","",""
"192554","AT 2025adhj","01:16:53.924","-43:49:33.53","","","","","BlackGEM","BlackGEM","","BlackGEM","BGEM J011653.92-434933.5","BG2 - BlackGEM-Cam2, ML1 - MeerLICHT-Cam","","1","1","","18.88","BG-q-BlackGem","2025-11-13 03:36:40.000","BlackGEM_Bot1","","","2025TNSTR4552....1T","","",""
"192553","AT 2025adhi","23:54:35.799","-43:17:13.05","","","","","MASTER, GOTO","MASTER, GOTO","","GOTO, MASTER","MASTER OT J235435.78-431712.8","GOTO-S - GOTO-3, GOTO-S - GOTO-4, Other - Other","","1","1","","19.8","Other-","2025-11-13 03:02:12.192","MASTER","","","2025TNSTR4559....1K","","",""
"192552","AT 2025adhh","01:21:40.722","-51:20:35.21","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25ofp","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.84","orange-ATLAS","2025-11-13 00:54:06.048","ATLAS_Bot1","","","2025TNSTR4551....1T","","",""
"192551","AT 2025adhg","00:28:38.070","-36:16:28.56","","","","","ATLAS, BlackGEM, GOTO, GW-MMADS","ATLAS, BlackGEM, GOTO, GW-MMADS","","ATLAS, BlackGEM, GOTO, GW-MMADS","ATLAS25ofo","ATLAS-MLO - ATLAS-01, ATLAS-STH - ATLAS-03, BG2 - BlackGEM-Cam2, CTIO-4m - DECAM, GOTO-S - GOTO-3, GOTO-S - GOTO-4, ML1 - MeerLICHT-Cam","","1","1","","19.681","orange-ATLAS","2025-11-13 00:12:15.264","ATLAS_Bot1","","","2025TNSTR4551....1T","","",""
